Manufacturer,Model Name,Device Name,Model Code,GPU,Form Factor,System on Chip,Total MEM,ABIs,OpenGL ES Versions,SDK
A1,A1 Alpha 20+,A1 Alpha 20%2B,P671F60,Mali-G72 MP3MP3,Phone,Mediatek MT6771T,3726MB,arm64-v8a;armeabi;armeabi-v7a,3.2,29
Acer,Iconia One 10,B3-A50FHD,acer_ColnagoFHD,PowerVR Rogue GE8300,Tablet,Mediatek MT8167A,1946MB,arm64-v8a;armeabi;armeabi-v7a,3.2,27
Acer,Iconia One 10,B3-A50,acer_Colnago,PowerVR Rogue GE8300,Tablet,Mediatek MT8167B,1966MB,arm64-v8a;armeabi;armeabi-v7a,3.2,27
Acer,Iconia Tab 10,B3-A40FHD,acer_asgardfhd,PowerVR Rogue GE8300,Tablet,Mediatek MT8167B,1954MB,arm64-v8a;armeabi;armeabi-v7a,3.2,24
Acer,Liquid Z6 Plus,T11,acer_t11,Mali-T720MP3,Phone,Mediatek MT6753,2918MB,arm64-v8a;armeabi;armeabi-v7a,3,23
Acer,A3-A30,A3-A30,omega,Intel(R) HD Graphics for BayTrail,Tablet,Intel Z3735F,1891MB,armeabi;armeabi-v7a;x86,3.1,21
Advance,HL9000,HL9000,HL9000,PowerVR Rogue GE8300,Phone,Mediatek MT6761,2798MB,arm64-v8a;armeabi;armeabi-v7a,3.2,28
Alldocube,iPlay_20,iPlay_20,iPlay_20,PowerVR Rogue GE8322,Tablet,Spreadtrum SC9863A,3778MB,arm64-v8a;armeabi;armeabi-v7a,3.2,29
AllView,P9 Energy,P9_Energy,P9_Energy,Mali-T860MP2,Phone,Mediatek MT6755,3824MB,arm64-v8a;armeabi;armeabi-v7a,3,23
AllView,X7_Soul_Pro_EEA,X7_Soul_Pro,X7_Soul_Pro,Adreno (TM) 508,Phone,Qualcomm SDM630,3748MB,arm64-v8a;armeabi;armeabi-v7a,3.2,28
AllView,X6 Soul Xtreme,X6_Soul_Xtreme,X6_Soul_Xtreme,Mali-G72 MP3MP3,Phone,Mediatek MT6771,3718MB,arm64-v8a;armeabi;armeabi-v7a,3.2,28
AllView,X3 Soul Style,X3_Soul_Style,X3_Soul_Style,Mali-T720MP3,Phone,Mediatek MT6753,2878-2917MB,arm64-v8a;armeabi;armeabi-v7a,3.0;3.1,23;24
